,score
Mistral-Large-2,0.5567624386825508
Llama-3.1-70B-Instruct,0.5
Claude-3.5 (Sonnet),0.6103714085494043
Mistral-8x7b-Instruct,0.41450595655220746
Command-R+,0.43903293622985284
Llama-3.1-405B-Instruct,0.5658724597056762
Llama-3.1-8B-Instruct,0.4607568325157673
GPT-4o,0.5967063770147162
Llama-3-70B-Instruct,0.5063069376313946
PaperQA2,0.5557112824106517
Gemma-1.1-7B-it,0.18710581639803783
Gemma-2-9B-it,0.4716187806587246
Llama-2-70B Chat,0.2613875262789068
Galatica-120b,0.015066573230553609
Llama-3-8B-Instruct,0.44674141555711283
Gemini-Pro,0.4428871758934828
o1,0.6285914505956552
GPT-4,0.4036440084092502
Phi-3-Medium-4k-Instruct,0.46461107217939734
Claude-3 (Opus),0.5515066573230554
GPT-3.5 Turbo Zero-T,0.4555010511562719
Claude-2-Zero-T,0.46320953048353186
